NO,제목,작성자,작성일,조회수,첨부파일,url,content
12323,[공지사항-비교과] [의사소통센터] 2023-1 효사랑 스승사랑 편지쓰기 후기 공모전 안내,의사소통센터,2023-05-15,77,1,https://www.gachon.ac.kr/commonNotice/kor/86462/artclView.do,"2023 효사랑 스승사랑 편지쓰기 후기 공모전    편지를 쓰면서 생각났던 추억, 편지를 보낸 뒤의 뿌듯함, 답장을 받았을 때의 기쁨 등, 편지쓰기를 하면서 경험했던 일을 가천인의 후기로 남겨 주세요!   ◇ 참가 대상: 2023-1 효사랑 스승사랑 편지쓰기 참가자(개인)   ◇ 프로그램 일정  - 신청 기간: 공고일 ~ 5/31(수) 23:45  - 당선작 발표: 6/9(금) 예정  (진행 일정은 학사 일정 및 프로그램 운영 상황에 따라 변동될 수 있습니다)   ◇ 공모 주제: 2023-1학기 효사랑 스승사랑 편지쓰기 프로그램에 참여하면서 경험한 일을 후기로 작성하기  ※ 후기 작성 시 포함할 내용   - 프로그램에 대한 소개 - 참여 계기나 받는 사람 선정 과정 - 편지 작성 중 겪은 에피소드 - 참여 후 변화 또는 느낀 점 - 프로그램을 추천한다면 추천하고 싶은 이유   ◇ 제출 방법  - 신청 방법: WIND 시스템에서 ‘2023 효사랑 스승사 편지쓰기 후기 공모전’을 클릭하여 신청  - 신청 양식: 프로그램 내 신청서 첨부 파일 활용  - 파일 형태: 한글(.hwp) 또는 워드(.doc) 파일 형태로 제출  - 작성 분량: 2,000자 이내(띄어쓰기 포함)   ◇ 심사 기준  - 내용: 주제 및 기획 의도에 적합한 내용인가? - 형식: 공모전에 걸맞은 구성과 표현인가?    ◇ 시상 범위: 당선작: 10편 선정, 상금 10만 원. ※ 시상 범위는 접수된 신청작들의 개수나 수준, 심사 결과 등에 따라 변경될 수 있습니다. ※ 10만 원 이상의 상금 수령 시 세금이 제외된 금액이 지급됩니다.    ◇ 유의 사항  - 2023-1학기에 진행된 편지쓰기 프로그램에 참가한 학생만이 이 프로그램에 참여할 수 있습니다.  - 의사소통센터는 글쓰기 윤리와 관련된 규정을 준수합니다. 수상이 끝난 뒤라도 저작물 관련 윤리를 어긴 정황(표절, 위조, 변조, 중복 게재 등)이 확인될 경우 수상 내역이 취소될 수 있습니다.  - 윤리적/사회적으로 문제가 있거나 논란이 일 수 있는 작품, 불특정 다수에게 불쾌감을 줄 수 있는 작품, 법적 다툼의 여지가 있는 작품, 특정 대상의 신상이나 개인 정보를 노출한 작품은 대회에서 제외될 수 있습니다(예: 빈번한 비속어의 사용, 근거 없는 비난, 특정인에 대한 모욕이나 신상 공개 등).  - 수상작에 대한 사용권 및 저작권 등 모든 권리는 가천대학교에 귀속됩니다. 수상작은 가천대학교 및 의사소통센터의 홍보, 사업, 연구 등의 목적으로 활용(제작, 복제, 배포)될 수 있고, 작품의 전체나 일부가 변경되어 활용될 수 있습니다.  - 수상작들은 대회 종료 후, ‘편지쓰기 후기 공모전 수상작품집’으로 묶여서 공개됩니다.  - 신청자는 이 프로그램을 신청할 때에 이상의 내용을 인지하고 이에 동의한 것으로 간주합니다.   ◇ 비교과 마일리지 설문 조사  -  설문 기간: 6/1(목) ~ 6/8(목)  - 설문 조사 기간 내 조사에 참여한 신청자에 한하여WIND 마일리지 20점이 부여됩니다.      ◇ 문의 사항  - 의사소통센터(비전타워 A구역 B206호)  - 전화: 031-750-8782  - 메일: sotongcenter@gachon.ac.kr    WIND 편지쓰기 후기 공모전 → 바로가기"
12322,"[공지사항-비교과] [학생상담센터] 나종호 교수님과 함께하는, 정오의 행복특강 <괜찮지 않아도 괜찮아>",학생상담센터,2023-05-15,59,1,https://www.gachon.ac.kr/commonNotice/kor/86451/artclView.do,"학생상담센터 찾아가는 상담실 제 3회 <행복특강>  tvN 유퀴즈 출연! <뉴욕 정신과 의사의 사람 도서관> 저자, 예일대학교 의과대학 정신의학과 나종호 교수의 '괜찮지 않아도 괜찮아'  잘지내지? 라고 묻는 사회에서 때로는 잘 못지내는 우리 행복을 강요하는 사회에서 늘 행복하지는 못한 우리 트레드밀처럼 바쁘게 돌아가는 사회에서, 정신과 의사가 스스로의 대학생활을 돌이켜보며 건네는 위로와 생각들     1. 대상: 가천대학교 재학생/교직원 누구나!  2. 일정: 2023.06.02.(금) 정오 12:00  ~ 14:00 (약 2시간)  3. 장소: 비대면 Webex 링크 진행  4. 접수기간 : 2023.5.3(수) ~ 6.1.(목)  5. 강연자 : 나종호(예일대학교 의과대학 정신의학과 교수)  6. 강연 방식: 비대면(온라인 Webex 링크) : 신청이 완료되면 예약된 링크 주소를 이메일/문자로 전송해드립니다. ※ 특강에 대한 기대와 궁금점을 남겨주세요!    특강과 관련한 궁금증을 '사전 설문지' 를 통해 남겨주시면 강연자 나종호 교수님께 전달됩니다.  7. 활동 혜택 1) 비교과 마일리지 지급(5점) - 재학생만 지급 가능 2) ★사전 설문지★ 를 통해 우수 질문으로 선정된 다섯 분에게 나종호 교수님 <뉴욕 정신과 의사의 사람도서관> 저서를 증정해드립니다.  8. 신청방법: 비교과 윈드시스템 (프로그램 신청→ 심리/상담/진단→ 학생상담센터 행복특강) 신청  9. 문의처: 학생상담센터(031-750-6957)"
12321,[학생소식] 제18회 대학생 해양사고 모의심판 경연대회 안내,학생지원팀,2023-05-15,61,1,https://www.gachon.ac.kr/commonNotice/kor/86448/artclView.do,1. 중앙해양안전심판원은 해양안전의식확산과 해양안전심판에 대한 이해증진 및 연구기회를 제공하기 위해 매년 '대학생 해양사고 모의심판 경연대회'를 개최하고 있습니다. 2. 이와 관련하여 해양사고의 원인분석 등 해양안전심판에 관심 있는 학생들의 많은 참여바랍니다.     가. 대회개요     ㅇ 대 회 명 : 제18회 대학생 해양사고 모의심판 경연대회     ㅇ 일    시 : 2023. 11. 17.(금)     ㅇ 장    소 : 추후 결정     ㅇ 참가자격 : 전국 대학교 재학생     ㅇ 주    최 : 중앙해양안전심판원   나. 시상내역     ㅇ 최우수상 1팀(해양수산부장관상): 상금 300만원     ㅇ 우 수 상 2팀(중앙해양안전심판원장상): 상금 팀별 200만원     ㅇ 장 려 상 3팀(중앙해양안전심판원장상): 상금 팀별 100만원   다. 문의사항 : 중앙행정안전심판원 044-200-6116   붙임  제18회 대학생 해양사고 모의심판경연대회 홍보 포스터 1부.  끝.
12320,[공지사항-기타공지] 2023학년도 예술영재교육원 사회봉사자(TA) 모집,예술영재교육원,2023-05-13,229,1,https://www.gachon.ac.kr/commonNotice/kor/86447/artclView.do,"2023학년도 예술영재교육원 미술/음악 분야별 TA(Teaching Assistant)로 참여할 사회봉사자를 다음과같이 모집합니다. 한 학기 동안 봉사기회를 제공하며, 교육원 초등학생 분야별 인솔자 역할을 수행하는 교육봉사활동이므로 특히 교육 분야에 관심 있는 분들의 많은 지원바랍니다. 과정별 (음악/미술) TA 활동을 우수하게 수행한 학생은 예술영재교육원 추후 행사요원 모집 시 우대하여 선발합니다.  * 모집기간/인원: 2023.05.13 ~ 충원 시까지  (10명 내외)  * 지원 자격: 가천대학교 재학생으로 봉사 활동에 적극적인 참여 의사가 있는 학생 (전공무관)  * 주요활동:  가천대 예술영재원 음악, 미술 전공 학생 관리 및 수업 보조                  1. 봉사 기간: 5월 20일(토) ~ 3회차 수업 종료까지                   2. 시간: 토요일 09:00 ~ 18:00 (중식 제공)                  3. 장소: 가천대 예술체육2대학 (구 예음홀)  * 신청방법: 첨부한 지원서 양식 작성 >> 이메일로 지원서 제출>> 지원서 확인후 개별 연락  * 기타사항    1. 2023학년도 사회봉사활동부터 사회봉사교과목 (학점) 이수 또는 VMS 입력 중 한 가지 선택 가능합니다.                   2. 연락 가능 시간대는 신청서에 기입 부탁드립니다.                   3. 문의: 예술영재교육원 박지유 연구원 (psw8551@gachon.ac.kr/ 031-750-8895)"
12319,[취업소식] 가천멘토와 함께하는 '2023 릴레이 가천 멘토링' 홍보 및 참여신청 안내,취업지원팀,2023-05-13,6427,1,https://www.gachon.ac.kr/commonNotice/kor/86440/artclView.do,"안녕하세요, 가천멘토와 함께하는 '2023 릴레이 가천 멘토링' 프로그램을 운영하게 되어 안내드립니다.  32명의 가천멘토 졸업생분들이 본교를 방문하여 본 프로그램 운영 동안 재학생 여러분들께 듣든한 취업 길라잡이가 되어드릴 예정입니다. 취업 성공 스토리와 실전 노하우를 통해, 자신감과 어려운 취업을 준비하는 과정에 큰 도움을 얻어가시길 바랍니다.  많은 관심과 참여 바랍니다.  ▶ 목     적 : 관심 기업에 종사하는 선배들의 실질적인 취업준비 노하우 공유를 통한 직무 및 기업에 대한 필요역량 탐색 ▶ 일     시 : 2023년 05월 22일(월) ~ 05월 30일(화), 매일 3타임(13:30, 15:00, 16:30) 17회 운영 ▶ 장     소 : 가천대학교 비전타워B구역 2층 252호 강의실 ▶ 참여멘토 : 본교 졸업생 멘토 32명 ▶ 진행방식 : 직무별/기업별로 멘토를 초대하여 '취업준비 전략 및 직무 안내' 특강 진행 ▶ 사전신청방법 :  WIND시스템·비교과 프로그램 신청  신청 바로가기 ▶ 주요내용   ※ WIND신청 후 특강에 적극적으로 참여하신분을 대상으로 회차별 5명(총 75명)을 선발하여 소정의 선물(예.스타벅스 커피쿠폰 등) 제공 예정                                                            ▼ 회당 최대 2명의 가천멘토 졸업생의 동시 특강 진행!!                                        ▼ 중복 참여 가능!!       5.22(월)  5.23(화)  5.24(수)  5.25(목)  5.26(금)  5.30(화)    13:30 ~ 14:30    3. 경영지원  6. 마케팅/금융  9. 이공직무(기계분야)  12. 마케팅/품질  15. 삼성그룹 멘토링 PART2 (의약품제조)    강동경희대학교병원 / 행정 (의료산업경영학과)  공영홈쇼핑/PD (경제학과)  현대자동차/설계 (기계공학전공)  우아한청년들/마케팅 (경제학과)  삼성바이오로직스/ 의약품제조 (산업공학전공/ 화공생명공학전공)    카카오VX/HR (동양어문학과)  페퍼저축은행/기업금융 (경영학전공)  기아/글로벌사업관리 (기계공학전공)  대웅제약/품질관리 (식품생명공학과)    15:00 ~ 16:00  1. 영업/유통/마케팅  4. 공기업 분야  7. 부동산/금융  10. 건축/설비/시공  13. 전문직 분야  16. 삼성그룹 멘토링 PART3 (SW개발)    롯데네슬레코리아/구매 (경영학전공)  국민건강보험공단/ 사회복지 (사회복지학과)  한강에셋자산운용/부동산 (도시계획학전공)  DL건설(e편한세상)/ 건설‧건축시공 (건축공학전공)  세무회계사무소/세무사 (글로벌경영학전공)  삼성전자/ 무선클라우드SW개발 (전자공학전공)    무신사/PM (경영학전공)  한국지역난방공사/ 설비운영 (기계공학전공)  KB부동산신탁/부동산 (도시계획학전공)  선율관세법인/관세사 (경제학과)  삼성전자/SW 개발 (소프트웨어전공)    16:30 ~17:30  2. 연구개발  5. 건축/설비/시공  8. IT  11. 영업/마케팅/총무  14. 삼성그룹 멘토링  PART1 (마케팅/반도체)  17. 삼성그룹 멘토링 PART4(반도체)    건일제약/제제연구 (화공생명공학전공)  롯데건설/기계설비 (설비‧소방공학과)  넥슨/데이터 분석 (컴퓨터공학전공)  BGF리테일/영업관리 (경제학과)  삼성물산(패션)/ 마케팅‧영업관리 (동양어문학과)  삼성전자/공정기술 (화공생명공학전공)    올릭스/연구개발 (바이오나노학과)  아성다이소/산업안전 (설비‧소방공학과)  아시아나IDT/ 온라인플랫폼 (소프트웨어학과)  한미약품/총무 (화공생명공학전공)  삼성전자/반도체품질 (산업공학전공)  삼성전자/기계장비설치 (기계공학전공)     ▶ 문의사항 : 031-750-4788"
12318,[공지사항-비교과] [의사소통센터] 제2회 가천 한국어 한마당 퀴즈 대회,의사소통센터,2023-05-12,148,1,https://www.gachon.ac.kr/commonNotice/kor/86419/artclView.do,"<제2회 가천 한국어 한마당 퀴즈 대회>  한국어와 한국문화, 어디까지 알고 있나요? 한국어를 못 해도 한국에 관심이 있다면 모두 다 참여 가능합니다!   ▷ 참가 대상: 2023-1학기 가천대학교 외국인 재학생 (자퇴, 졸업, 제적, 휴학, 학기 초과자, 대학원생 참가 불가)  ▷ 대회 일정: 5/19(금) 16:00~18:00 가천관 B101호  ▷ 접수 기간: 공고일~5/18(목) 17:00까지   ▷ 접수 방법: 가천대학교 WIND 홈페이지에서 개인으로 신청 → 클릭  ▷ 대회 방식: 30개의 문제를 가장 많이 맞히는 사람에게 상금 수여.   ① 퀴즈 내용: 가천대학교, 한국어, 한국문화 관련 상식  ② 퀴즈 형식: 객관식, 주관식, O/X 퀴즈, 사진 퀴즈, 속담 퀴즈    ▷ 시상 내역     구분          인원(명)  상금(원)    금상  1  300,000    은상  2  200,000    동상  3  100,000    장려상  10  기념품    * 시상 범위는 대회 결과에 따라 변경될 수 있습니다. * 10만 원 이상의 상금 수령 시 세금이 제외된 금액이 지급됩니다.  ▷ 혜택: 신청자 전원 WIND 마일리지 10점 부여.  ▷ 유의 사항  - 프로그램에 직접 참여하고 종료 후 설문조사까지 완료해야 WIND 마일리지가 부여됩니다. - 신청자는 이 프로그램을 신청할 때에 이상의 내용을 인지하고 이에 동의한 것으로 간주합니다.  ▷ 문의 사항: 의사소통센터 (비전타워A B206호) - 전화: 031-750-8782 / 메일: sotongcenter@gachon.ac.kr    <中文>  <第二届嘉泉大学知识竞赛>  大家对韩语和韩国文化到底了解多少呢？  只要对韩国感兴趣，就算韩语不熟练也能报名参加！   ▷ 报名对象：2023-1学年嘉泉大学留学生在校生(退学，毕业，休学，延毕，大学院生除外)  ▷ 竞赛日程：5/19周五) 16:00 嘉泉馆B101号  ▷ 报名时间：公告日起~5/18(周四) 17:00截止 *竞赛当天也接受报名  ▷ 报名方式：嘉泉大学WIND网站上进行个人报名  ▷ 竞赛流程：30道竞赛题中答对最多的人获胜  ① 出题内容：与嘉泉大学，韩语，韩国文化相关的常识  ② 出题结构：客观题，主观题， O/X问答，图片问答，俗语问答   ▷ 福利：报名参赛全员赠wind10个积分  ▷ 咨询：沟通交流中心(vision tower A栋楼 B206号)  电话：031-750-8782/ 邮箱：sotongcenter@gachon.ac.kr   <Tiếng Việt>  CUỘC THI ĐỐ VUI TIẾNG HÀN GACHON LẦN THỨ 2  BẠN HIỂU BIẾT ĐẾN ĐÂU VỀ TIẾNG HÀN VÀ VĂN HÓA HÀN QUỐC?  DÙ BẠN KHÔNG NÓI ĐƯỢC TIẾNG HÀN NHƯNG NẾU QUAN TÂM ĐẾN HÀN QUỐC THÌ AI CŨNG ĐỀU CÓ THỂ THAM GIA!   ▷ Đối tượng tham gia: Sinh viên nước ngoài đang theo học học kỳ 1 năm 2023 tại ĐH Gachon  (Không bao gồm trường hợp thôi học, tốt nghiệp, gạch tên, bảo lưu, học quá kỳ, sinh viên Cao học)  ▷ Thời gian cuộc thi: Ngày 19 tháng 5 (Thứ 6) B101 Gachon-gwan  ▷ Thời gian nhận đăng ký: Từ ngày thông báo đến ngày 18/5(Thứ 5)*Có thể đăng ký vào ngày tổ chức cuộc thi.  ▷ Cách đăng ký: Đăng ký cá nhân qua trang WIND của trường Gachon  ▷ Cách thi: Trao phần thưởng cho người giải được nhiều câu đố nhất trong 30 câu đố.  ① Nội dung câu đố: Kiến thức liên quan đến trường Đại học Gachon, tiếng Hàn và văn hóa Hàn Quốc  ② Hình thức câu đố: Ý kiến khách quan, ý kiến chủ quan, câu đố đúng sai O/X, câu đố thành ngữ tục ngữ   ▷ Ưu đãi: Tích 10 điểm WIND cho tất cả người đăng ký.  ▷ Liên hệ: Trung tâm Giao Tiếp (B206 Vision Tower)  - Số điện thoại: 31-750-8782 / E-mail: sotongcenter@gachon.ac.kr   <Монгол хэл>  <Солонгосын Гачон Ханмадан асуулт хариултын 2-р тэмцээн>  Та солонгос хэл, солонгос соёлыг хэр сайн мэддэг вэ? Солонгос хэлгүй байсан ч солонгосыг сонирхсон хүн бүр оролцох боломжтой!  ▷ Оролцогч: Гачон Их Сургуульд 2023-1-р семестрт элсэн суралцаж буй гадаад оюутнууд (сургуулиас гарсан, төгсөх, бүртгэлээс хасагдсан, чөлөө авсан, семестрийг хэтрүүлсэн, магистер, докторын оюутнууд оролцох боломжгүй) ▷ Тэмцээний хуваарь: 5 сарын 19 (Баасан) 16:00 가천관 B101 тоот ▷ Бүртгэлийн хугацаа: Зарлагдсан өдрөөс 5 сарын 18 (Пүрэв) 17:00 цаг хүртэл  * тэмцээний өдөр ч гэсэн бүртгүүлэх боломжтой. ▷ Бүртгүүлэх арга: Гачон их сургуулийн WIND вэб сайтад хувь хүнээр бүртгүүлнэ. ▷Тэмцээний арга: 30 асуултанд хамгийн их зөв хариулсан хүнд шагнал гардуулна. ① Асуултын агуулга: Гачон их сургууль, солонгос хэл, солонгос соёлтой холбоотой ерөнхий мэдлэг ② Асуултын хэлбэр: сонгох асуулт бүхий шалгалт, өгөгдсөн асуултын дагуу хариулах, O/X асуулт хариулт, фото асуулт хариулт, зүйр цэцэн үгс  ▷ Үр ашиг: Хүсэлт гаргасан бүх гишүүд WIND 10 оноо авна. ▷ Холбоо барих: Харилцаа холбооны төв (Vision Tower A B206 тоот) Утас: 031-750-8782 / И-мэйл: sotongcenter@gachon.ac.kr   <O'zbek tili>  <Gachon 2chi katta sahna viktorina tanlovi>  Koreys tili va Koreya madaniyati haqida qanchalik bilasiz? Koreyaga qiziqqan barcha talabalar koreys tilini mukammal bilmasa xam qatnashish imkoniyatiga egadir!   ▷ Ishtirokchi: 2023-yil 1-semestda Gachon Universitetiga o`qishga qabul qilingan xorijlik talabalar qatnasha oladilar. -O`z xohishga ko`ra o`qishni tark etgan, bitiruvchi, o`qishdan chetlashtirilgan, akadem ta`tildagi talaba, semest muddati o`tgan va magistr·doktarantura talabalari qatnashish huquqi cheklangan.  ▷ Viktorina vaqti: 19/5 (juma)16:00 Gachongwan B 101-xona  ▷ Ro`yxatdan o`tish muddati: E`lon chiqarilgan kundan 18/5 (payshanba) soat 17:00gacha *Viktorina kuni ham ariza berishingiz mumkin.  ▷ Ro`yxatdan o`tish usuli: Gachon Universiteti WIND veb-saytida shaxsan ariza berishingiz mumkin.   ▷ Viktorina usuli: 30 ta savolga eng ko`p javob bergan talabalarga pul mukofoti beriladi. ① Viktorina mazmuni: Gachon Universiteti, Koreys tili va Koreya madaniyati bilan bog`liq umumiy · amaliy bilimlar asosida o`tkaziladi. ② Viktorina formati: Test, qisqa javobli savol, O/X viktorina; rasmli va maqol viktorina savollari usulida olib boriladi.  ▷Imtiyoz: Ariza bergan barchaga ‘WIND mileage’da 10 ball taqdim etiladi.  ▷Murojaat uchun: Muloqot markazi (Vision Tower A, B206) - Tel: 031-750-8782 / E-mail: sotongcenter@gachon.ac.kr"
12317,[공지사항-비교과] [아르테크네센터] 2023 공모전 #06_아.나.바.다,ArTechne센터,2023-05-12,120,0,https://www.gachon.ac.kr/commonNotice/kor/86417/artclView.do,"□ 참가대상 : 2023년도 1학기 가천대학교 재학생으로 이루어진 팀 (5인 1팀) 신청시점부터 2023학년도 1학기까지(수상자발표일까지) 재학생신분유지 재학생에 한하여 참가 가능 (재입학생(당해학기), 자퇴자, 졸업자, 휴학자, 학기 초과자 불가)  □ 공모주제 : 노하우 나눔 영상 공모전 ※ 주제는 전공 이외에 자신이 잘하는 것, 일상에서의 자신만의 노하우, 기술 등으로 선택 예) 영상/웹툰 제작법, PPT 발표자료 만드는 법 등 특정분야에 상관없이 자신의 노하우를 영상으로 재미있게 제작하여 가천인들에게 공유할 수 있는 주제  □ 접수방법 : WIND 시스템을 통해 접수 1) WIND 시스템에서 「개인정보 이용동의서(양식)」 작성 후 공모전 참가 신ㄴ청 step 1. 팀장이 WIND시스템에서 팀 개설 및 참가신청 step 2. 팀 개설 이후 팀 구성원 5인 모두 신청해야 참가처리 완료  2) 팀장이 활동게시판을 통해 「영상 원본파일」, 「결과보고서」를 zip 파일로 묶어 제출 * 공모전 신청 시 사전 만족도 조사 설문 응답 필수 * 접수 마감일 이후 사후 만족도 조사 설문 응답 필수(개별 문자 안내 예정)  □ 영상 규격 및 작품조건 1) 영상길이 : 3-4분 이내 2) 영상규격 : 1920*1080 (FHD, 1080p) 온라인 업로드 고려  3) 형식 : 셀프카메라, 강의 등 자유 형식 4) 제출 파일명 : '팀명(팀장명)'으로 통일  □ 추진일정       일정  내용    1  2023.05.12(금)  공고    2  2023.06.28(수)  접수마감 (16:00까지) ※결과물 제출 마감도 동일    3  2023.07.18(화)  수상자 발표 (아르테크네센터 홈페이지 공지)    ※ 상기 일정은 센터 상횡에 따라 변동될 수 있습니다.  □ 심사기준       심사항목  심사내용    1  적합성  공모주제 및 조건과의 적합성    2  창의성  공모주제 및 진행과정의 창의성    3  완성도  해상도, 영상미 등 작품의 완성도    4  활용성  교육적 효과 및 화러용성     □ 시상내역     상격  인원  시상금  비고    대상  1팀  3,000,000X1팀  상장 수여    최우수상  2팀  1,500,000X2팀    우수상  3팀  1,000,000X3팀    장려상  7팀  500,000원X7팀    합계  13팀  12,500,000원      ※ 참가자 수 및 작품수준에 따라 시상 내용이 변동될 수 있습니다.  □ 유의사항 - 국내외 타 공모전에서 수상하지 않은 순수 창작물이어야 하며, 표절 및 도용 작품은 심사에서 제외됩니다. - 수상작으로 선정된 이후라도 표절 등 부적격으로 판명될 경우, 수상을 취소하고 상장을 회수할 수 있습니다. - 저작권, 초상권 등과 관련된 응모 작품의 모든 법적 책임은 응모자에게 있습니다. - 응모자로부터 작품의 지식재산권에 관한 독점적인 이용 허락을 받아 가천대학교의 마케팅 등의 목적으로 작품을 활용(제작, 복제, 배포 등) 할 수 있고, 전체나 일부를 변경하여 이용할 수 있습니다.  - 수상 작품은 아르테크네센터 홍보를 목적으로 홈페이지나 SNS에 작품의 전체 혹은 일부를 업로드할 수 있으며 응모자는 이에 대해 동의한다는 것으로 간주합니다.  □ 문의사항 - 담당자 : 031-750-6934/artechne@gachon.ac.kr - 센터위치 : 비전타워 421호 아르테크네센터      WIND바로가기"
12316,[학생소식] 제5기 국립외교원 국민외교아카데미 대학생 외교 연수 과정 안내,학생지원팀,2023-05-11,135,3,https://www.gachon.ac.kr/commonNotice/kor/86397/artclView.do,"1. 외교부 국립외교원은 2021년부터 대외교육기능을 확대하여 국민외교아카데미 과정을 신설하여 운영하고 있습니다.     ㅇ 국민외교아카데미는 국민에게 외교 전반에 대한 경험과 정보를 제공하여, 국민의 외교와 외교 정책에 대한 관심과 이해를 제고하고, 국민의 외교역량을 강화하기 위한 최초의 정부 주도 대국민 외교 학습·교육 프로그램    ㅇ △청소년(고등학생) △대학생 △일반국민 △언론인 대상 프로그램 시행 2. 위 관련, 국립외교원은 2023년 제4기 국민외교아카데미 대학생 외교 연수 과정을 아래와 같이 개최할 예정이니, 많은 신청바랍니다.     - 아       래 -     ㅇ 기간 및 장소 : 2023.07.10.(월)-07.21.(금), 서울시 서초구 양재동 국민외교타운 5층 국민외교아카데미관(남부순환로 2558)    ㅇ 참가 대상 : 2023년 7월 기준 국내 대학 재학생 전학년(전공 제한 없음, 휴학생 및 졸업예정자 포함)    ㅇ 선발 인원 : 40명    ㅇ 선발 기준 : 대학별 추천자 중 자기소개서 및 지원동기를 기준으로 학년, 성별 및 지역별 비율을 고려하여 선발    ㅇ 선발 절차        ① 참가 희망자가 각 대학 관련 부서로 참가 신청서 제출 ※ 제출처 : js@gachon.ac.kr / 031-750-5052 (2023.06.02.(금)까지)       ② 각 대학 관련 부서는 참가 신청서를 취합, 내용 확인 후 추천자를 선발, 국립외교원으로 제출          - 제출 서류 : (학생별) 참가신청서 및 개인정보이용동의서           ※ 금번 과정은 조별 실습 및 토론이 병행되기 때문에 대면 진행 예정이나, 지방 거주 학생 중 부득이하게 비대면 수강을 희망하는 경우,(붙임1) 양식에비대면 수강 필요 사유를 구체적으로 기재하여 제출요망       ③ 접수된 각 대학 추천자 중 국민외교아카데미 운영위원회를 통해 40명 선발    ㅇ 선발자 발표 : 2023.06.30.(금), 국립외교원 홈페이지 게시 및 개별 연락 예정    ㅇ 대학생 외교 연수 과정 이수자에게는 국립외교원장 명의 수료증 부여 예정이며, 실습(워크숍) 우수자 시상 예정    ㅇ 문의 : 국립외교원 기획협력과(knda_academy@mofa.go.kr, 02-3497-7788)  붙임  1. (학생별)국민외교아카데미 참가신청서(대학생 외교 연수 과정_학생 본인 작성) 1부.       2. (학생별) 개인정보이용동의서(대학생 외교 연수 과정_학생 본인 작성) 1부.       3. 대학생 외교 연수 과정 포스터 1부.  끝."
12315,[공지사항-기타공지] 「스마트 무당이 위치정보 서비스」 정식 OPEN 행사 개최 안내,정보운영팀,2023-05-11,988,0,https://www.gachon.ac.kr/commonNotice/kor/86395/artclView.do,"디지털정보처에서 알려드립니다.  「스마트 무당이 위치정보 서비스」 정식 OPEN 행사를 진행합니다. 참여 학생을 대상으로 소정의 기념품을 증정 할 예정이니 많은 관심과 참여 부탁드립니다.    ■ 행사명 : 「스마트 무당이 위치정보 서비스」 정식 OPEN 행사   ■ 주   관 : 총학생회, 디지털정보처   ■ 일   시 : 2023.05.16.(화) 14:30   ■ 장   소 : 가천관 1층 무한대상 앞   ■ 기념품 : 카카오프렌즈 문구류, 토이류                   (기념품 수량은 조기 소진될 수 있습니다.)   에코버스 위치정보 서비스 「스마트 무당이」는 P학기 프로젝트 작품을 상용화하는 것으로 학생들의 편의성 제공뿐만이 아닌 학습 동기 유발효과도 기대되는 결과물입니다. 많은 관심과 참여 부탁드립니다.  디지털정보처에서는 사용자의 편리한 서비스가 최우선이 되도록 노력하겠습니다.  -제39대 총학생회, 디지털정보처-"
12314,[학생소식] 2023년 국외 보훈사적지 탐방 참가자 모집 안내,학생지원팀,2023-05-11,114,2,https://www.gachon.ac.kr/commonNotice/kor/86393/artclView.do,"1. 국가보훈처 주관으로 국외 보훈사적지(중국) 탐방에 대학생(청년)을 대상으로 아래와 같이 안내드립니다. 2. 관심있는 학생들의 많은 참여바랍니다.    가. 행사명: 2023년 국외 보훈사적지 탐방(중국, 동북3성 일원)   나. 주관: 국가보훈처   다. 운영사: 현대아산(주)   라. 일정     1) 모집/접수기간: 2023.05.08.(월)~05.22.(월) 16:00     2) 선발인원: 190명(차수별 100명 내외)     3) 탐방 일정     구분  탐방기간  비고    1차  2023.07.03.~07.08. / 5박 6일  차수별 100명 내외 * 각 차수별 3개팀 구성(35명 이내)    2차  2023.07.10.~07.15. / 5박6일      마. 지원사항: 항공료, 숙박비, 식비 등 지원(※ 자부담 30만원)   바. 문의사항: 보훈사적지탐방 운영 사무국 (02-3669-3991)  붙임  1. 2023년 국외 보훈사적지 탐방 홍보 포스터 1부.         2. 모집공고 1부.  끝."
